Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
3,0,Wild Nacatl,Shards of Alara,152,Near Mint,English,,,,,,,,
1,0,Wilt-Leaf Cavaliers,Shadowmoor,244,Near Mint,Japanese,,,,,,,,
1,0,Wilt-Leaf Liege,Shadowmoor,245,Near Mint,Japanese,,,,,,,,
1,0,Windbrisk Raptor,Shadowmoor,26,Near Mint,Japanese,,,,,,,,
1,0,Wit's End,Magic 2013,117,Near Mint,English,,,,,,,,
1,0,Witchbane Orb,Innistrad,236,Near Mint,English,,,,,,,,
1,0,Witherscale Wurm,Shadowmoor,134,Near Mint,English,,,,,,,,
4,0,Wolfbitten Captive,Dark Ascension,133,Near Mint,English,,,,,,,,
2,0,Wolfir Silverheart,Avacyn Restored,206,Near Mint,English,,,,,,,,
1,0,Woodland Cemetery,Innistrad,249,Near Mint,English,,,,,,,,
1,0,Woolly Razorback,Coldsnap,25,Near Mint,English,,,,,,,,
2,0,Woolly Thoctar,Shards of Alara,209,Near Mint,English,,,,,,,,
1,0,Worldpurge,Shadowmoor,156,Near Mint,Japanese,,,,,,,,
1,0,Worldslayer,Magic 2012,222,Near Mint,Chinese,,,,,,,,
2,0,Wrath of God,Seventh Edition,57,Good (Lightly Played),English,,,,,,,,
1,0,Wurm's Tooth,Magic 2012,223,Near Mint,English,foil,,,,,,,
1,0,Wurmcoil Engine,Prerelease Events,46,Good (Lightly Played),,foil,,,,,,,
1,0,Xathrid Gorgon,Prerelease Events,54,Near Mint,English,,,,,,,,
1,0,"Xenagos, God of Revels",Born of the Gods,156,Near Mint,English,,,,,,,,
2,0,"Yisan, the Wanderer Bard",Magic 2015 Core Set,209,Near Mint,English,,,,,,,,
1,0,Young Pyromancer,Magic 2014 Core Set,163,Near Mint,English,,,,,,,,
1,0,Young Wolf,Dark Ascension,134,Near Mint,English,foil,,,,,,,
1,0,Zealous Conscripts,Avacyn Restored,166,Near Mint,English,,,,,,,,
1,0,Zealous Persecution,Duel Decks: Sorin vs. Tibalt,23,Near Mint,English,,,,,,,,
2,0,Zealous Persecution,Alara Reborn,85,Near Mint,English,,,,,,,,
2,0,Zealous Persecution,Alara Reborn,85,Near Mint,Chinese,,,,,,,,
2,0,Zombie Apocalypse,Dark Ascension,80,Near Mint,English,,,,,,,,
1,0,Zombie Infestation,Premium Deck Series: Graveborn,19,Near Mint,English,foil,,,,,,,




